"","X","RespondentID","Year","Age","Region","Educ.Level","Educ.Years","Educ.Attained","Marital","Husb.Educ.Level","Husb.Educ.Years","Husb.Employment","Employment","Husb.Educ.Attained","Husb.Age","Emotional.IPV","Less.Physic.IPV","More.Physic.IPV","Sexual.IPV","Husb.Employment.Bin","Employment.Bin","LPG","Physical.IPV","ANY.IPV","Counts.IPV","Male","Female"
"1",9224,9719,2017,30,15,2,8,3,1,2,9,9520,0,3,27,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"2",9225,9720,2017,40,15,2,10,3,1,1,1,9520,0,1,39,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"3",9226,9721,2017,19,15,1,6,1,1,1,5,8322,0,1,20,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"4",9229,9725,2017,23,15,3,12,5,1,1,2,6115,0,1,28,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"5",9230,9726,2017,30,15,1,7,2,1,1,1,5249,9520,1,47,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"6",9231,9727,2017,19,15,2,9,3,1,3,12,5414,5221,5,30,1,0,0,0,1,1,"Both employed",0,1,1,1,1
"7",9232,9728,2017,32,15,2,11,4,1,1,3,6111,0,1,39,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"8",9233,9729,2017,37,15,1,2,1,1,1,2,6115,1420,1,38,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"9",9234,9730,2017,42,15,2,11,4,1,1,1,6111,0,1,42,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"10",9235,9731,2017,23,15,2,10,3,1,2,11,9329,0,3,25,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"11",9236,9732,2017,24,15,1,7,2,1,1,7,9312,0,1,24,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"12",9237,9733,2017,28,15,3,12,5,1,3,12,2221,0,5,44,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"13",9238,9734,2017,27,15,3,15,5,1,3,15,5165,0,5,32,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"14",9241,9737,2017,20,15,2,10,3,1,2,9,6117,0,3,22,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"15",9243,9739,2017,27,15,2,11,4,1,2,11,5165,0,3,41,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"16",9245,9741,2017,32,15,3,14,5,1,3,15,2341,0,5,32,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
