"","CASEID","V000","V001","V002","V003","V004","V005","V006","V007","V008","V008A","V009","V010","V011","V012","V013","V024","V101","V106","V107","V149","V190","V191","V190A","V191A","V501","V502","V503","V504","V505","V506","V701","V702","V704","V704A","V705","V714","V714A","V715","V716","V717","V719","V721","V729","V730","V731","V732","V739","V740","V741","V743A","V743B","V743C","V743D","V743E","V743F","V744A","V744B","V744C","V744D","V744E","V745A","V745B","V745C","V745D","V746","D005","D101A","D101B","D101C","D101D","D101E","D101F","D101G","D101H","D101I","D101J","D102","D103A","D103B","D103C","D103D","D103E","D103F","D103G","D104","D105A","D105B","D105C","D105D","D105E","D105F","D105G","D105H","D105I","D105J","D105K","D105L","D105M","D105N","D106","D107","D108","D109","D110A","D110B","D110C","D110D","D110E","D110F","D110G","D110H","D111","D112","D112A","D113","D114"
"1","    00010007  2","PH7",1,7,2,1,361799,8,2017,1412,42962,6,1987,1050,30,4,15,15,2,8,3,1,-104086,1,-85611,1,1,1,1,1,NA,2,9,9520,1,9,0,0,9,0,0,NA,NA,3,27,0,NA,NA,NA,NA,1,1,NA,2,NA,1,0,0,0,0,0,1,0,NA,NA,NA,261344,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"2","    00010010  2","PH7",1,10,2,1,361799,8,2017,1412,42962,4,1977,928,40,6,15,15,2,10,3,1,-101771,1,-83123,1,1,1,1,1,NA,1,1,9520,1,9,0,0,1,0,0,NA,NA,1,39,0,NA,NA,NA,NA,1,4,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,261344,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4","    00010013  2","PH7",1,13,2,1,361799,8,2017,1412,42962,11,1997,1175,19,1,15,15,1,6,1,1,-96396,1,-77347,1,1,1,1,1,NA,1,5,8322,1,8,0,0,5,0,0,NA,NA,1,20,0,NA,NA,NA,NA,1,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,261344,0,0,0,1,1,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"5","    00010015  5","PH7",1,15,5,1,361799,8,2017,1412,42963,5,1992,1109,25,3,15,15,3,15,5,2,-29113,3,-5036,5,2,1,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","    00010015  7","PH7",1,15,7,1,361799,8,2017,1412,42963,4,1987,1048,30,4,15,15,2,11,4,2,-29113,3,-5036,1,1,2,2,1,NA,3,15,5412,1,3,0,0,15,0,0,NA,NA,5,30,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","    00010018  9","PH7",1,18,9,1,361799,8,2017,1412,42962,12,1997,1176,19,1,15,15,2,9,3,3,31322,4,59915,1,1,1,1,1,NA,3,13,9520,1,9,0,0,13,0,0,NA,NA,5,24,0,NA,NA,NA,NA,1,1,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","    00010022  4","PH7",1,22,4,1,361799,8,2017,1412,42962,9,1993,1125,23,2,15,15,3,12,5,4,75859,4,107780,1,1,1,1,1,NA,1,2,6115,1,4,0,0,2,0,0,NA,NA,1,28,0,NA,NA,NA,NA,2,1,NA,2,NA,2,1,1,0,1,0,0,0,NA,NA,NA,261344,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"9","    00010025  2","PH7",1,25,2,1,361799,8,2017,1412,42964,1,1987,1045,30,4,15,15,1,7,2,1,-97533,1,-78569,1,1,1,1,1,NA,1,1,5249,1,7,0,0,1,9520,9,3,NA,1,47,1,2,2,NA,2,2,1,NA,2,NA,2,0,8,0,0,0,0,0,NA,NA,3,261344,8,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"10","    00010029  2","PH7",1,29,2,1,361799,8,2017,1412,42962,4,1998,1180,19,1,15,15,2,9,3,2,-45066,2,-22181,1,1,1,1,1,NA,3,12,5414,1,3,0,0,12,5221,7,2,NA,5,30,1,2,2,NA,1,2,2,NA,2,NA,2,0,1,1,0,0,0,0,NA,NA,2,261344,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"11","    00020007  2","PH7",2,7,2,2,416591,8,2017,1412,42966,5,1985,1025,32,4,15,15,2,11,4,3,-714,3,25485,1,1,1,1,1,NA,1,3,6111,1,4,0,0,3,0,0,NA,NA,1,39,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,1,1,NA,NA,NA,300923,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
